Ürün ID,Stok Kodu,Barkod,Ürün Adı,Ana Kategori,Alt Kategori,Marka,Mikro Stok,Hepcazip Satış Fiyatı,Ofis26 Satış Fiyatı,Mevcut Alış Fiyatı,Mevcut Kar Marjı - Hepcazip,Mevcut Kar Marjı - Ofis26,Tedarikçi Güncel Alış Fiyatı,Güncel Kar Marjı - Hepcazip,Güncel Kar Marjı - Ofis26,Akakçe Fiyatı,Raf,Raf Adet,Kasa,Kasa Adet,Palet,Palet Adet
21426,1361878,8691239400795,Faber Castell Asetat Kalemi Kırmızı (S),Kalem ve Yazı Gereçleri,Asetat Kalemi,Faber Castell,,,,,,,,,,,,,,,,
21427,FBR-1525-KRMZ,4005401525219,Faber Castell Asetat Kalemi Permanent M Kırmızı,Kalem ve Yazı Gereçleri,Asetat Kalemi,Faber Castell,,,,,,,,,,,,,,,,
21428,FBR-1525-MV,4005401525516,Faber Castell Asetat Kalemi Permanent M Mavi,Kalem ve Yazı Gereçleri,Asetat Kalemi,Faber Castell,,,,,,,,,,,,,,,,
21429,FBR-1525-S,8691233258192,Faber Castell Asetat Kalemi Permanent M Seri Siyah,Kalem ve Yazı Gereçleri,Asetat Kalemi,Faber Castell,,,,,,,,,,,,,,,,
21430,FBR-1525-S-KRMZ,4005401523215,Faber Castell Asetat Kalemi Permanent S Seri Kırmızı,Kalem ve Yazı Gereçleri,Asetat Kalemi,Faber Castell,,,,,,,,,,,,,,,,
21431,FBR-1525-S-MV,4005401523512,Faber Castell Asetat Kalemi Permanent S Seri Mavi,Kalem ve Yazı Gereçleri,Asetat Kalemi,Faber Castell,,,,,,,,,,,,,,,,
21432,FBR-1525-S-YSL,8691233884267,Faber Castell Asetat Kalemi Permanent S Seri Yeşil,Kalem ve Yazı Gereçleri,Asetat Kalemi,Faber Castell,,,,,,,,,,,,,,,,
21433,170010855,8008621014026,Hi-Text Asetat Kalemi Permanent M Seri Kırmızı 780,Kalem ve Yazı Gereçleri,Asetat Kalemi,Hi Text,,,,,,,,,,,,,,,,
21434,170010664,8008621014033,Hi-Text Asetat Kalemi Permanent M Seri Mavi 780,Kalem ve Yazı Gereçleri,Asetat Kalemi,Hi Text,,,,,,,,,,,,,,,,
21435,HYXY-AST-M-S,8008621014101,Hi-Text Asetat Kalemi Permanent M Seri Siyah 780,Kalem ve Yazı Gereçleri,Asetat Kalemi,Hi Text,,,,,,,,,,,,,,,,
21436,6794,8008621001262,Hi-Text Permanent Marker Yuvarlak Uç Kırmızı 830pb,Kalem ve Yazı Gereçleri,Permanent Kalem,Hi Text,,,,,,,,,,,,,,,,
21437,6795,8008621001255,Hi-Text Permanent Marker Yuvarlak Uç Mavi 830pb,Kalem ve Yazı Gereçleri,Permanent Kalem,Hi Text,,,,,,,,,,,,,,,,
21438,6796,8008621000036,Hi-Text Permanent Marker Yuvarlak Uç Siyah 830pb,Kalem ve Yazı Gereçleri,Permanent Kalem,Hi Text,,,,,,,,,,,,,,,,
21439,CD3170-KRF,8680454902314,Kraf Asetat Kalemi Ohp Plus 280 (M) Mavi,Kalem ve Yazı Gereçleri,Asetat Kalemi,Kraf,,,,,,,,,,,,,,,,
21440,CD3171-KRF,8680454902321,Kraf Asetat Kalemi Ohp Plus 280 (m) Siyah,Kalem ve Yazı Gereçleri,Asetat Kalemi,Kraf,,,,,,,,,,,,,,,,
21441,CD3172-KRF,8680454902345,Kraf Asetat Kalemi Ohp Plus 290 (S) Kırmızı,Kalem ve Yazı Gereçleri,Asetat Kalemi,Kraf,,,,,,,,,,,,,,,,
21442,CD3173-KRF,8680454902352,Kraf Asetat Kalemi Ohp Plus 290 (S) Mavi,Kalem ve Yazı Gereçleri,Asetat Kalemi,Kraf,,,,,,,,,,,,,,,,
21443,CD3174-KRF,8680454902369,Kraf Asetat Kalemi Ohp Plus 290 (S) Siyah,Kalem ve Yazı Gereçleri,Asetat Kalemi,Kraf,,,,,,,,,,,,,,,,
21444,164532,8680454912863,Kraf Asetat Kalemi Silgili (M) 260 Kırmızı,Kalem ve Yazı Gereçleri,Asetat Kalemi,Kraf,,,,,,,,,,,,,,,,
21445,164534,8680454912948,Kraf Asetat Kalemi Silgili (M) 260 Mavi,Kalem ve Yazı Gereçleri,Asetat Kalemi,Kraf,,,,,,,,,,,,,,,,
21446,164533,8680454912900,Kraf Asetat Kalemi Silgili (M) 260 Yeşil,Kalem ve Yazı Gereçleri,Asetat Kalemi,Kraf,,,,,,,,,,,,,,,,
21447,164536,8680454913020,Kraf Asetat Kalemi Silgili (S) 270 Kırmızı,Kalem ve Yazı Gereçleri,Asetat Kalemi,Kraf,,,,,,,,,,,,,,,,
21448,164538,8680454913105,Kraf Asetat Kalemi Silgili (S) 270 Mavi,Kalem ve Yazı Gereçleri,Asetat Kalemi,Kraf,,,,,,,,,,,,,,,,
21449,164539,8691239153508,Kraf Asetat Kalemi Silgili (S) 270 Siyah,Kalem ve Yazı Gereçleri,Asetat Kalemi,Kraf,,,,,,,,,,,,,,,,
21450,5002026,8691234941150,Schneider Asetat Kalemi M Seri 1.0 mm Kırmızı 224,Kalem ve Yazı Gereçleri,Asetat Kalemi,Schneider,,,,,,,,,,,,,,,,
21451,5002036,8691235831078,Schneider Asetat Kalemi M Seri 1.0 mm Mavi 224,Kalem ve Yazı Gereçleri,Asetat Kalemi,Schneider,,,,,,,,,,,,,,,,
21452,5002012,8691200500203,Schneider Asetat Kalemi M Seri 1.0 mm Siyah 224,Kalem ve Yazı Gereçleri,Asetat Kalemi,Schneider,,,,,,,,,,,,,,,,
21453,5002043,8691234416666,Schneider Asetat Kalemi M Seri 1.0 mm Yeşil 224,Kalem ve Yazı Gereçleri,Asetat Kalemi,Schneider,,,,,,,,,,,,,,,,
21454,5002013,8691238537598,Schneider Asetat Kalemi S Seri 0.4 mm Kırmızı 220,Kalem ve Yazı Gereçleri,Asetat Kalemi,Schneider,,,,,,,,,,,,,,,,
21455,5002044,8691237596183,Schneider Asetat Kalemi S Seri 0.4 mm Mavi 220,Kalem ve Yazı Gereçleri,Asetat Kalemi,Schneider,,,,,,,,,,,,,,,,
21456,5001986,8691200500197,Schneider Asetat Kalemi S Seri 0.4 mm Siyah 220,Kalem ve Yazı Gereçleri,Asetat Kalemi,Schneider,,,,,,,,,,,,,,,,
21457,5002075,8691237417557,Schneider Asetat Kalemi S Seri 0.4 mm Yeşil 220,Kalem ve Yazı Gereçleri,Asetat Kalemi,Schneider,,,,,,,,,,,,,,,,
21458,KA3330-DEL,8690060167007,Delta Ataş No:1 167,Masaüstü Gereçler,Ataş,Delta,,,,,,,,,,,,,,,,
21459,KA3331-DEL,8690060171004,Delta Ataş No:2 171,Masaüstü Gereçler,Ataş,Delta,,,,,,,,,,,,,,,,
21460,KA3332-DEL,8690060175002,Delta Ataş No:3 175,Masaüstü Gereçler,Ataş,Delta,,,,,,,,,,,,,,,,
21461,KA3333-DEL,8690060179000,Delta Ataş No:4 179,Masaüstü Gereçler,Ataş,Delta,,,,,,,,,,,,,,,,
21462,KA3334-DEL,8690060180105,Delta Ataş No:5 180,Masaüstü Gereçler,Ataş,Delta,,,,,,,,,,,,,,,,
21463,KA3335-DEL,8690060181102,Delta Ataş No:6 181,Masaüstü Gereçler,Ataş,Delta,,,,,,,,,,,,,,,,
21464,KA3336-DEL,8690060182000,Delta Ataş No:7 182,Masaüstü Gereçler,Ataş,Delta,,,,,,,,,,,,,,,,
21465,KA3337-DEL,8690060183007,Delta Ataş No:8 183,Masaüstü Gereçler,Ataş,Delta,,,,,,,,,,,,,,,,
21466,203254,8691200203258,Kraf Ataş NO:4 404G,Masaüstü Gereçler,Ataş,Kraf,,,,,,,,,,,,,,,,
21467,MAS-30,8691235820604,Mas Ataş Dev 10 CM 290,Masaüstü Gereçler,Ataş,Mas,,,,,,,,,,,,,,,,
21468,MAS-1,8691232387333,Mas Ataş Dev 5 CM 250,Masaüstü Gereçler,Ataş,Mas,,,,,,,,,,,,,,,,
21469,MAS-25,8691233442689,Mas Ataş Dev Battal 6 CM 260,Masaüstü Gereçler,Ataş,Mas,,,,,,,,,,,,,,,,
21470,MAS-26,8691237231013,Mas Ataş Dev Jumbo 7 CM 270,Masaüstü Gereçler,Ataş,Mas,,,,,,,,,,,,,,,,
